category,device,bitwig_manual_refs,drivenbymoss_manual_surface,drivenbymoss_device_specific_behavior,visual_behavior_family,initial_priority,initial_disposition,verification_state,rationale
Container,Chain,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Container,FX Layer,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Container,FX Selector,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Container,Instrument Layer,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Container,Instrument Selector,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Container,Mid-Side Split,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Container,Multiband FX-2,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Container,Multiband FX-3,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Container,Note FX Layer,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Container,Note FX Selector,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Container,Replacer,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Container,Stereo Split,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Container,XY FX,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Container,XY Instrument,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primary value is chains/layers/selection structure rather than a single graphical control surface.
Cymbal,v0 Cymbal,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Cymbal,v8 Cymbal,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Cymbal,v9 Crash,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Cymbal,v9 Ride,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Delay,Delay+,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Time/feedback relationships may benefit from visual focus after first graph family is proven.
Delay,Delay-1,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Time/feedback relationships may benefit from visual focus after first graph family is proven.
Delay,Delay-2,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Time/feedback relationships may benefit from visual focus after first graph family is proven.
Delay,Delay-4,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Time/feedback relationships may benefit from visual focus after first graph family is proven.
Distortion,Amp,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Transfer/tone relationships can be visual; verify device-specific payoff.
Distortion,Bit-8,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Transfer/tone relationships can be visual; verify device-specific payoff.
Distortion,Distortion,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Transfer/tone relationships can be visual; verify device-specific payoff.
Distortion,Over,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Transfer/tone relationships can be visual; verify device-specific payoff.
Distortion,Saturator,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Transfer/tone relationships can be visual; verify device-specific payoff.
Drum Kit,Drum Machine,BW-D19,DBM-D1 + DBM-C1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,structure-navigation,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,"Selected pad/cell, chain, and device context are high-value and poorly represented by a generic eight-bar page."
Dynamics,Compressor+,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Dynamics visualization and gain-reduction context can materially improve parameter editing.
Dynamics,Compressor,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Meters/envelopes/transfer curves can complement parameter semantics.
Dynamics,De-Esser,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Meters/envelopes/transfer curves can complement parameter semantics.
Dynamics,Dynamics,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Meters/envelopes/transfer curves can complement parameter semantics.
Dynamics,Gate,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Meters/envelopes/transfer curves can complement parameter semantics.
Dynamics,Peak Limiter,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Meters/envelopes/transfer curves can complement parameter semantics.
Dynamics,Transient Control,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Meters/envelopes/transfer curves can complement parameter semantics.
EQ,EQ+,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,High-value response graph with obvious encoder-to-band focus opportunities.
EQ,EQ-2,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Frequency-response graph is a strong candidate for encoder-linked focus.
EQ,EQ-5,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Frequency-response graph is a strong candidate for encoder-linked focus.
EQ,EQ-DJ,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Frequency-response graph is a strong candidate for encoder-linked focus.
EQ,Focus,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Frequency-response graph is a strong candidate for encoder-linked focus.
EQ,Sculpt,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Frequency-response graph is a strong candidate for encoder-linked focus.
EQ,Tilt,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Frequency-response graph is a strong candidate for encoder-linked focus.
Filter,Comb,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Filter response and related controls can support native visual focus.
Filter,Filter+,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,High-value response/waveshaper visual with encoder-linked focus potential.
Filter,Filter,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Filter response and related controls can support native visual focus.
Filter,Ladder,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Filter response and related controls can support native visual focus.
Filter,Resonator Bank,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Multiple resonant bands make direct graphical context especially useful.
Filter,Sweep,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Filter response and related controls can support native visual focus.
Filter,Vocoder,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Filter response and related controls can support native visual focus.
Hardware,HW Clock Out,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Routing/latency/channel values matter more than captured graphics in the first product.
Hardware,HW CV Instrument,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Routing/latency/channel values matter more than captured graphics in the first product.
Hardware,HW CV Out,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Routing/latency/channel values matter more than captured graphics in the first product.
Hardware,HW FX,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Routing/latency/channel values matter more than captured graphics in the first product.
Hardware,HW Instrument,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Routing/latency/channel values matter more than captured graphics in the first product.
Hi-hat,v0 Hat,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Hi-hat,v1 Hat,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Hi-hat,v8 Hat,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Hi-hat,v9 Hat Closed,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Hi-hat,v9 Hat Open,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Kick,v0 Kick,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Kick,v0 Zap Kick,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Kick,v1 Kick,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Kick,v8 Kick,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
Kick,v9 Kick,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,drum-voice,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Compact drum voice; defer until a reusable drum-family presentation exists.
MIDI,Channel Filter,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primarily discrete/routing configuration; generic semantic controls are the safer default.
MIDI,Channel Map,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primarily discrete/routing configuration; generic semantic controls are the safer default.
MIDI,MIDI CC,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primarily discrete/routing configuration; generic semantic controls are the safer default.
MIDI,MIDI Program Change,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primarily discrete/routing configuration; generic semantic controls are the safer default.
MIDI,MIDI Song Select,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,semantic-status,P3,PRESERVE_DBM,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Primarily discrete/routing configuration; generic semantic controls are the safer default.
Modulation,Chorus+,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Rate/phase/depth relationships may benefit from a reusable graph behavior.
Modulation,Chorus,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Rate/phase/depth relationships may benefit from a reusable graph behavior.
Modulation,Flanger+,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Rate/phase/depth relationships may benefit from a reusable graph behavior.
Modulation,Flanger,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Rate/phase/depth relationships may benefit from a reusable graph behavior.
Modulation,Phaser+,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Rate/phase/depth relationships may benefit from a reusable graph behavior.
Modulation,Phaser,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Rate/phase/depth relationships may benefit from a reusable graph behavior.
Modulation,Rotary,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Rate/phase/depth relationships may benefit from a reusable graph behavior.
Modulation,Tremolo,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,graph-control,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Rate/phase/depth relationships may benefit from a reusable graph behavior.
Note FX,Arpeggiator,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Pattern/step behavior is a strong candidate for purpose-built semantic visualization.
Note FX,Bend,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Dribble,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Echo,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Harmonize,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Humanize,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Key Filter,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Latch,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Micro-pitch,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Multi-note,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Note Delay,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Note Filter,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Note Length,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
Note FX,Note Repeats,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P1,DESIGN_NEXT,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Temporal pattern/period visualization could materially improve the current parameter-only view.
Note FX,Note Transpose,BW-D19,DBM-D1 + DBM-B1 + DBM-W?,NONE_DOCUMENTED,sequence-note-flow,P2,FAMILY_LATER,MANUAL_BASELINE; SOURCE/FIXTURE_VERIFY,Some devices need sequence or note-flow views; others are well served by semantics. Verify per device.
